number of dependents,number of referrals,tenure in months,phone service,avg monthly long distance charges,multiple lines,internet service,internet type,avg monthly gb download,online security,online backup,device protection plan,premium tech support,unlimited data,contract,paperless billing,payment method,monthly charge,total revenue,churned,age_group
2,5,56,1,13.94,1,1,Fiber Optic,11.0,1,0,1,1,1,Month-to-Month,1,Credit Card,109.6,6733.64,0,35-44
0,0,1,1,4.99,0,1,Fiber Optic,28.0,0,0,0,0,1,Month-to-Month,1,Mailed Check,69.9,74.89,1,45-54
3,2,69,1,20.32,0,1,Fiber Optic,56.0,0,1,0,1,1,Two Year,1,Mailed Check,92.15,7882.98,0,55-64
1,5,1,1,47.46,0,0,No,0.0,0,0,0,0,0,One Year,0,Credit Card,19.85,67.31,0,55-64
0,0,1,1,33.58,0,0,No,0.0,0,0,0,0,0,Month-to-Month,0,Credit Card,20.15,53.73,1,25-34
1,0,25,1,18.87,0,0,No,0.0,0,0,0,0,0,One Year,0,Bank Withdrawal,19.9,977.2,0,45-54
0,0,1,1,16.37,1,1,Fiber Optic,7.0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,85.05,101.42,1,65-80
0,1,55,1,12.21,1,0,No,0.0,0,0,0,0,0,Two Year,0,Bank Withdrawal,25.7,2115.2,0,45-54
2,1,53,1,43.39,0,1,Fiber Optic,29.0,0,1,1,1,1,Month-to-Month,1,Bank Withdrawal,108.25,8234.77,0,35-44
0,6,59,1,31.43,0,0,No,0.0,0,0,0,0,0,One Year,0,Credit Card,20.35,3121.37,0,25-34
0,1,16,1,15.16,1,1,Fiber Optic,7.0,0,0,1,0,1,Month-to-Month,1,Bank Withdrawal,98.75,1830.11,1,65-80
1,0,7,1,28.5,0,1,Fiber Optic,13.0,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,71.05,682.15,0,45-54
0,7,3,0,0.0,0,1,DSL,3.0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,30.75,82.85,0,65-80
0,0,64,1,29.43,1,0,No,0.0,0,0,0,0,0,Two Year,0,Credit Card,25.65,3624.32,0,65-80
0,10,51,1,33.93,0,1,DSL,13.0,1,1,1,1,1,Two Year,0,Credit Card,85.5,6152.38,0,55-64
0,0,1,1,27.97,0,1,Fiber Optic,18.0,0,0,0,0,1,Month-to-Month,0,Bank Withdrawal,-7.0,97.72,1,35-44
2,5,69,1,23.47,0,0,No,0.0,0,0,0,0,0,One Year,1,Credit Card,20.35,3062.08,0,18-24
0,1,1,1,16.55,0,1,Fiber Optic,19.0,0,0,0,0,1,Month-to-Month,1,Credit Card,69.1,85.65,1,45-54
0,8,38,1,6.97,0,0,No,0.0,0,0,0,0,0,Two Year,0,Bank Withdrawal,20.4,1008.36,0,55-64
0,0,3,1,13.28,0,0,No,0.0,0,0,0,0,0,Month-to-Month,1,Credit Card,19.6,99.59,1,35-44
1,6,56,1,37.58,1,1,DSL,26.0,1,1,0,1,1,Two Year,1,Credit Card,75.85,6365.68,0,25-34
0,9,63,1,34.02,1,1,DSL,18.0,1,1,1,1,1,One Year,0,Credit Card,80.0,7183.46,0,25-34
1,0,11,1,11.86,0,1,Cable,23.0,0,1,0,1,1,Two Year,1,Bank Withdrawal,54.55,731.71,0,65-80
3,5,24,1,46.3,0,0,No,0.0,0,0,0,0,0,Two Year,1,Credit Card,19.7,1605.25,0,35-44
0,8,72,1,27.25,0,1,Fiber Optic,19.0,1,1,0,1,1,Two Year,0,Bank Withdrawal,105.5,9573.55,0,45-54
3,1,69,1,23.02,1,1,Fiber Optic,48.0,1,1,1,1,0,One Year,1,Credit Card,105.1,8933.18,0,18-24
0,1,56,1,42.37,1,1,Fiber Optic,71.0,0,0,1,0,1,One Year,1,Credit Card,99.8,7888.17,0,25-34
0,0,17,1,30.61,0,1,Fiber Optic,7.0,0,0,1,0,1,Month-to-Month,1,Bank Withdrawal,76.65,1833.92,1,55-64
1,2,18,1,39.56,1,0,No,0.0,0,0,0,0,0,Two Year,0,Credit Card,25.1,1125.96,0,25-34
0,0,11,1,17.12,0,0,No,0.0,0,0,0,0,0,Two Year,0,Credit Card,19.55,385.15,0,45-54
2,10,45,0,0.0,0,1,Cable,19.0,0,1,1,1,1,One Year,0,Bank Withdrawal,51.0,2264.5,0,45-54
0,0,47,1,14.22,1,1,Fiber Optic,11.0,0,1,0,1,1,Month-to-Month,1,Bank Withdrawal,95.05,5172.89,1,65-80
0,2,61,1,17.49,1,1,Fiber Optic,21.0,0,1,0,0,1,Two Year,1,Bank Withdrawal,101.05,7038.14,0,35-44
1,1,66,1,37.84,1,1,Fiber Optic,17.0,0,0,0,0,1,One Year,1,Bank Withdrawal,74.25,7356.69,0,25-34
0,0,42,1,32.16,0,1,DSL,8.0,1,0,1,0,1,Month-to-Month,0,Credit Card,54.55,3805.77,0,35-44
2,8,55,1,27.75,0,0,No,0.0,0,0,0,0,0,Two Year,0,Credit Card,19.4,2609.25,0,18-24
0,0,1,1,9.44,0,0,No,0.0,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,19.25,28.69,0,25-34
0,8,68,0,0.0,0,1,DSL,11.0,1,0,1,0,1,One Year,1,Bank Withdrawal,54.4,3698.03,0,55-64
3,9,1,1,30.09,0,0,No,0.0,0,0,0,0,0,Two Year,0,Credit Card,20.35,50.44,0,55-64
0,1,17,0,0.0,0,1,DSL,52.0,0,1,0,0,1,Month-to-Month,1,Credit Card,49.8,836.35,0,25-34
0,1,15,1,31.13,1,1,DSL,5.0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,51.1,1178.1,0,55-64
2,2,28,1,9.31,1,1,DSL,19.0,0,1,0,0,1,Month-to-Month,0,Bank Withdrawal,64.4,2062.83,0,45-54
0,8,28,1,24.35,1,1,Fiber Optic,15.0,0,1,0,1,1,Month-to-Month,1,Bank Withdrawal,105.8,3679.8,0,65-80
1,9,40,1,22.96,0,0,No,0.0,0,0,0,0,0,Two Year,0,Credit Card,19.6,1727.35,0,18-24
0,0,63,1,5.17,1,1,Fiber Optic,16.0,1,1,1,0,1,Month-to-Month,0,Credit Card,108.25,7105.81,0,45-54
0,0,15,1,4.28,1,1,Fiber Optic,6.0,0,1,0,0,1,Month-to-Month,0,Bank Withdrawal,89.85,1489.15,1,65-80
0,3,14,1,5.63,0,1,Fiber Optic,23.0,1,1,0,1,1,One Year,0,Credit Card,105.95,1427.72,1,55-64
2,0,54,1,6.7,1,1,Cable,16.0,0,1,0,0,1,Month-to-Month,1,Credit Card,55.0,3454.45,1,35-44
0,0,39,1,37.94,0,1,Fiber Optic,19.0,1,0,1,0,1,Two Year,1,Bank Withdrawal,100.45,5281.36,0,35-44
3,5,48,0,0.0,0,1,DSL,52.0,1,1,0,1,0,Two Year,0,Credit Card,39.4,2108.65,0,25-34
0,0,16,1,6.86,0,1,DSL,8.0,0,1,0,1,0,Month-to-Month,1,Credit Card,53.9,983.91,1,35-44
3,0,44,1,5.07,1,1,DSL,26.0,0,1,0,0,1,One Year,1,Credit Card,77.55,3694.18,0,35-44
2,1,1,1,37.68,0,1,Fiber Optic,26.0,0,0,0,0,1,Month-to-Month,1,Credit Card,70.65,108.33,1,55-64
0,7,69,1,14.18,0,1,DSL,16.0,1,1,0,0,1,One Year,1,Credit Card,53.65,4782.82,0,35-44
0,0,49,1,35.65,0,1,DSL,3.0,0,0,0,0,1,Two Year,0,Credit Card,43.8,3832.45,0,65-80
0,0,24,1,42.66,1,0,No,0.0,0,0,0,0,0,One Year,0,Bank Withdrawal,24.6,1629.09,0,55-64
0,7,71,1,30.72,1,0,No,0.0,0,0,0,0,0,Two Year,0,Bank Withdrawal,23.95,3937.32,0,65-80
1,4,61,1,41.57,0,1,Fiber Optic,21.0,0,1,0,1,1,One Year,1,Bank Withdrawal,98.45,8680.97,0,35-44
0,0,18,1,18.8,0,0,No,0.0,0,0,0,0,0,One Year,0,Mailed Check,20.1,745.45,0,35-44
0,1,27,1,41.48,0,1,DSL,15.0,0,1,0,1,1,Month-to-Month,1,Bank Withdrawal,53.8,2509.81,0,25-34
3,3,64,1,39.37,1,1,Fiber Optic,53.0,0,1,1,1,1,One Year,1,Bank Withdrawal,111.45,9786.63,0,45-54
0,0,1,1,16.47,0,0,No,0.0,0,0,0,0,0,Month-to-Month,0,Credit Card,19.85,36.32,0,45-54
0,9,50,1,46.49,1,1,DSL,11.0,0,1,1,1,1,One Year,1,Credit Card,84.15,6488.9,0,45-54
0,7,30,1,17.33,0,1,DSL,13.0,0,1,1,1,1,One Year,0,Bank Withdrawal,70.25,2718.8,0,45-54
0,0,57,0,0.0,0,1,DSL,28.0,0,0,1,1,0,Two Year,0,Credit Card,53.35,3190.05,0,25-34
0,0,17,1,9.84,1,0,No,0.0,0,0,0,0,0,Month-to-Month,0,Credit Card,24.8,605.47,0,55-64
0,0,51,1,14.37,0,1,Fiber Optic,7.0,0,0,0,0,1,One Year,0,Credit Card,87.55,5208.77,0,35-44
0,0,2,0,0.0,0,1,Cable,11.0,0,0,0,1,1,Month-to-Month,0,Bank Withdrawal,29.85,75.6,1,55-64
0,0,2,1,14.07,1,1,Fiber Optic,6.0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,85.7,197.94,1,35-44
3,1,60,1,48.04,1,1,Fiber Optic,76.0,1,1,0,0,1,One Year,0,Bank Withdrawal,94.15,8694.2,0,35-44
0,1,67,1,32.15,1,1,Fiber Optic,28.0,1,0,1,1,1,Two Year,1,Credit Card,108.75,9310.25,1,55-64
0,0,33,0,0.0,0,1,DSL,30.0,0,1,0,0,1,One Year,1,Bank Withdrawal,39.1,1309.0,0,55-64
0,0,38,1,42.24,0,1,DSL,22.0,1,1,0,1,1,One Year,0,Credit Card,70.6,4313.32,0,55-64
0,0,1,1,37.62,0,0,No,0.0,0,0,0,0,0,Month-to-Month,0,Bank Withdrawal,19.75,57.37,0,55-64
0,0,1,1,30.07,1,1,Fiber Optic,26.0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,74.95,105.02,1,55-64
2,3,16,1,45.54,0,0,No,0.0,0,0,0,0,0,Month-to-Month,0,Bank Withdrawal,20.4,1050.04,0,55-64
0,1,72,1,18.74,1,1,Fiber Optic,14.0,0,1,1,1,0,Two Year,1,Bank Withdrawal,109.75,9421.78,0,65-80
2,4,41,1,28.55,1,1,Cable,20.0,1,1,1,0,1,Month-to-Month,1,Credit Card,74.55,4194.1,0,55-64
2,4,65,1,13.25,1,1,Fiber Optic,47.0,1,0,1,1,1,Two Year,0,Bank Withdrawal,109.3,8198.8,0,18-24
1,6,72,1,17.33,0,0,No,0.0,0,0,0,0,0,Two Year,0,Bank Withdrawal,19.55,2711.21,0,55-64
0,7,67,1,49.94,0,0,No,0.0,0,0,0,0,0,Two Year,1,Bank Withdrawal,20.05,4565.37,0,65-80
0,0,49,1,22.52,1,1,Fiber Optic,25.0,0,1,0,1,0,One Year,1,Bank Withdrawal,106.65,6401.58,0,45-54
0,1,19,1,34.05,1,1,Fiber Optic,20.0,1,1,0,1,1,Month-to-Month,1,Credit Card,88.8,2319.3,0,35-44
0,6,69,1,34.49,1,1,Fiber Optic,29.0,0,1,1,0,1,Month-to-Month,1,Bank Withdrawal,85.4,8249.21,0,25-34
0,1,47,1,10.07,1,0,No,0.0,0,0,0,0,0,Month-to-Month,0,Bank Withdrawal,25.4,1612.49,0,18-24
3,9,53,1,27.93,1,1,DSL,57.0,1,1,0,0,1,Two Year,0,Bank Withdrawal,69.7,5166.34,0,45-54
0,1,27,1,18.74,1,1,Fiber Optic,59.0,0,0,1,0,1,Month-to-Month,0,Bank Withdrawal,90.15,2929.38,0,25-34
0,0,11,1,10.95,1,1,Fiber Optic,29.0,0,0,1,0,1,Month-to-Month,1,Bank Withdrawal,89.2,1110.75,0,55-64
1,7,28,1,26.28,1,1,Fiber Optic,19.0,0,0,0,1,1,One Year,1,Bank Withdrawal,90.45,3245.09,0,35-44
2,1,53,1,37.57,1,1,DSL,15.0,1,1,0,1,1,One Year,0,Bank Withdrawal,64.15,5482.76,0,35-44
0,0,19,1,18.57,0,0,No,0.0,0,0,0,0,0,One Year,0,Credit Card,20.25,736.48,0,45-54
0,0,3,1,2.78,0,0,No,0.0,0,0,0,0,0,One Year,1,Credit Card,19.45,77.59,0,25-34
0,5,23,1,1.39,0,1,DSL,18.0,0,0,0,1,1,One Year,0,Bank Withdrawal,60.0,1379.12,0,55-64
0,1,10,1,11.3,0,1,Fiber Optic,4.0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,79.95,970.2,1,35-44
0,6,63,1,44.55,1,1,DSL,29.0,1,1,1,1,1,Two Year,1,Credit Card,89.4,8404.3,0,35-44
0,0,38,1,36.18,0,1,Fiber Optic,48.0,1,1,1,0,1,Month-to-Month,1,Credit Card,83.9,4608.44,1,25-34
0,1,61,0,0.0,0,1,DSL,59.0,1,0,1,1,1,Two Year,1,Credit Card,62.15,3778.85,0,18-24
0,1,27,1,18.42,1,1,Fiber Optic,26.0,0,0,0,0,1,Month-to-Month,0,Credit Card,95.0,2959.89,0,18-24
0,0,1,1,27.88,0,0,No,0.0,0,0,0,0,0,Month-to-Month,0,Bank Withdrawal,19.65,47.53,0,18-24
0,0,13,1,5.43,0,1,Fiber Optic,26.0,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,91.1,1286.29,1,45-54
0,0,7,1,38.07,1,1,Fiber Optic,28.0,0,0,0,0,1,Month-to-Month,0,Bank Withdrawal,73.6,786.49,1,55-64
0,0,4,1,4.29,1,1,Fiber Optic,7.0,0,0,0,0,1,Two Year,1,Bank Withdrawal,74.45,311.61,0,65-80
0,0,8,1,44.63,1,1,Fiber Optic,29.0,0,0,0,0,1,Two Year,0,Bank Withdrawal,85.2,1052.79,0,65-80
0,4,12,1,23.99,0,1,DSL,51.0,1,0,0,1,1,Month-to-Month,0,Bank Withdrawal,54.2,978.38,0,18-24
0,0,7,1,2.24,0,1,DSL,22.0,0,0,0,1,1,Month-to-Month,1,Credit Card,59.5,431.63,1,45-54
0,9,56,1,4.24,0,1,Fiber Optic,15.0,1,0,1,0,1,Two Year,0,Bank Withdrawal,80.3,4751.09,0,55-64
2,1,52,1,19.21,1,0,No,0.0,0,0,0,0,0,Two Year,0,Credit Card,23.05,2254.02,0,35-44
0,1,23,1,5.8,1,1,DSL,12.0,0,0,0,0,1,One Year,1,Credit Card,48.35,1200.55,1,55-64
1,5,20,1,13.18,0,1,Cable,10.0,0,0,1,0,1,Month-to-Month,1,Bank Withdrawal,49.6,1203.4,0,55-64
2,10,68,0,0.0,0,1,DSL,19.0,1,1,1,1,1,Two Year,1,Credit Card,56.4,3948.45,0,45-54
0,0,3,1,18.26,0,1,Fiber Optic,29.0,1,0,0,0,1,Month-to-Month,1,Credit Card,86.05,299.63,0,45-54
0,0,6,1,48.89,0,1,DSL,22.0,0,0,0,1,1,Month-to-Month,1,Bank Withdrawal,49.65,560.69,1,45-54
0,4,50,1,46.91,0,0,No,0.0,0,0,0,0,0,Two Year,0,Credit Card,20.55,3413.15,0,25-34
0,0,60,1,42.88,1,1,Fiber Optic,52.0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,89.9,8023.5,0,25-34
0,0,4,0,0.0,0,1,Cable,30.0,1,0,1,1,0,Month-to-Month,0,Mailed Check,48.25,212.25,0,18-24
0,0,45,1,5.97,1,1,Fiber Optic,73.0,1,0,1,1,1,Month-to-Month,1,Credit Card,108.45,5233.35,0,25-34
3,4,25,1,4.46,0,1,Fiber Optic,58.0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,75.5,2012.55,0,45-54
0,10,43,1,37.09,0,1,Fiber Optic,8.0,0,1,1,0,1,One Year,1,Bank Withdrawal,100.55,5898.87,0,65-80
0,1,12,1,19.48,0,0,No,0.0,0,0,0,0,0,Month-to-Month,0,Credit Card,19.0,467.31,1,45-54
0,0,9,1,42.41,1,1,Fiber Optic,8.0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,76.85,1045.24,0,45-54
0,0,62,1,23.18,0,1,DSL,18.0,1,0,0,1,1,Two Year,1,Credit Card,65.1,5283.91,0,45-54
1,2,40,1,1.89,0,0,No,0.0,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,20.4,820.9,0,55-64
3,0,6,1,38.28,1,0,No,0.0,0,0,0,0,0,Month-to-Month,0,Credit Card,26.35,413.73,0,18-24
1,4,20,1,3.87,0,0,No,0.0,0,0,0,0,0,Two Year,0,Credit Card,20.05,477.4,0,55-64
0,0,16,1,39.52,0,1,Fiber Optic,17.0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,78.75,1850.57,0,65-80
0,1,8,1,28.37,0,0,No,0.0,0,0,0,0,0,One Year,0,Bank Withdrawal,19.8,387.01,0,18-24
0,0,2,1,21.28,0,1,Cable,26.0,0,1,0,0,1,Month-to-Month,1,Credit Card,49.6,157.26,1,25-34
0,4,72,1,2.95,1,1,Cable,26.0,1,1,1,1,1,Two Year,1,Bank Withdrawal,91.15,6850.3,0,45-54
0,0,50,1,20.88,1,1,Fiber Optic,13.0,1,0,1,0,1,Month-to-Month,0,Credit Card,105.95,6385.8,1,35-44
0,0,21,1,3.26,1,1,Fiber Optic,51.0,0,0,0,0,1,Month-to-Month,0,Credit Card,75.3,1639.16,0,25-34
0,1,64,1,46.44,1,1,Fiber Optic,29.0,1,1,1,1,1,One Year,1,Bank Withdrawal,115.0,10368.31,0,35-44
0,0,3,1,42.68,1,1,Cable,27.0,0,0,0,1,1,Month-to-Month,1,Credit Card,65.25,337.94,0,25-34
0,0,58,1,29.31,0,0,No,0.0,0,0,0,0,0,Two Year,1,Bank Withdrawal,19.15,2706.78,0,45-54
0,0,14,1,11.31,0,1,Fiber Optic,24.0,0,0,0,0,1,Month-to-Month,0,Credit Card,90.45,1424.44,1,65-80
0,0,18,1,10.67,0,0,No,0.0,0,0,0,0,0,Month-to-Month,1,Credit Card,19.55,581.31,0,45-54
0,0,67,1,43.3,1,0,No,0.0,0,0,0,0,0,Two Year,1,Credit Card,26.1,4660.65,0,45-54
0,0,1,1,40.83,0,0,No,0.0,0,0,0,0,0,Month-to-Month,1,Credit Card,20.1,60.93,1,55-64
0,2,61,1,11.53,1,0,No,0.0,0,0,0,0,0,Two Year,0,Bank Withdrawal,25.45,2241.93,0,45-54
0,0,52,1,21.98,0,0,No,0.0,0,0,0,0,0,Two Year,0,Credit Card,19.65,2168.01,0,25-34
0,0,14,1,14.61,0,0,No,0.0,0,0,0,0,0,Two Year,0,Credit Card,20.4,496.94,0,45-54
2,1,43,1,14.64,0,1,DSL,19.0,0,1,0,0,1,Month-to-Month,0,Mailed Check,50.2,2798.92,0,35-44
3,1,52,1,40.33,1,0,No,0.0,0,0,0,0,0,Two Year,0,Credit Card,24.8,3326.26,0,35-44
0,0,2,1,44.31,1,1,DSL,73.0,0,1,0,0,1,Month-to-Month,1,Credit Card,54.4,202.72,1,18-24
0,0,4,1,8.75,1,1,Fiber Optic,4.0,1,0,0,0,0,One Year,1,Bank Withdrawal,80.25,368.7,0,65-80
0,0,31,1,39.36,1,1,Fiber Optic,4.0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,99.95,4406.81,1,65-80
1,10,5,1,8.04,0,0,No,0.0,0,0,0,0,0,Month-to-Month,0,Credit Card,19.45,126.25,0,18-24
0,0,27,1,35.76,1,1,Fiber Optic,4.0,1,1,1,0,1,One Year,1,Bank Withdrawal,110.5,3823.12,0,65-80
0,0,4,1,40.15,0,1,DSL,19.0,0,0,0,0,0,Month-to-Month,0,Bank Withdrawal,54.3,435.9,1,55-64
0,0,23,0,0.0,0,1,Cable,2.0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,34.65,768.45,0,65-80
0,1,9,1,31.75,0,1,Fiber Optic,25.0,0,0,1,0,1,Month-to-Month,1,Bank Withdrawal,75.75,941.65,1,45-54
0,0,55,1,47.38,1,1,Fiber Optic,29.0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,96.8,7889.85,1,35-44
0,1,49,0,0.0,0,1,DSL,21.0,0,1,0,1,1,One Year,1,Credit Card,56.3,2780.6,0,45-54
0,1,71,1,26.58,1,1,Cable,27.0,0,0,1,1,1,Two Year,1,Bank Withdrawal,80.45,7549.43,0,25-34
0,3,59,1,16.06,0,1,DSL,4.0,1,1,1,0,1,One Year,0,Credit Card,66.4,4905.74,0,45-54
0,5,68,1,1.98,1,1,Fiber Optic,19.0,1,1,0,0,1,One Year,1,Credit Card,96.55,6716.54,1,65-80
0,6,64,1,16.61,1,1,Cable,4.0,1,1,1,1,1,Two Year,1,Mailed Check,81.3,6170.0,0,25-34
0,6,72,1,14.65,1,1,DSL,20.0,1,0,1,1,1,Two Year,0,Bank Withdrawal,66.85,5813.6,0,55-64
0,1,16,1,9.93,1,1,Fiber Optic,27.0,0,0,0,0,1,Month-to-Month,1,Credit Card,85.35,1534.03,1,65-80
3,2,44,1,36.86,0,0,No,0.0,0,0,0,0,0,One Year,0,Bank Withdrawal,20.0,2482.69,0,18-24
1,1,30,1,12.85,0,0,No,0.0,0,0,0,0,0,Two Year,0,Credit Card,19.7,934.96,0,18-24
0,0,12,0,0.0,0,1,DSL,10.0,0,0,1,1,1,Month-to-Month,1,Bank Withdrawal,43.65,526.95,1,65-80
0,0,39,1,5.4,1,1,DSL,16.0,0,0,0,1,1,Two Year,1,Credit Card,53.85,2364.64,0,55-64
3,1,15,1,17.28,0,0,No,0.0,0,0,0,0,0,One Year,0,Credit Card,19.65,591.85,0,45-54
0,0,4,1,12.86,1,1,Fiber Optic,4.0,0,0,1,0,1,Month-to-Month,1,Bank Withdrawal,88.85,423.89,1,65-80
0,0,70,0,0.0,0,1,Cable,13.0,0,1,1,0,1,One Year,1,Credit Card,44.05,3011.65,0,65-80
3,0,1,1,23.2,0,1,Fiber Optic,21.0,0,0,0,0,1,Month-to-Month,0,Bank Withdrawal,79.9,103.1,1,55-64
0,7,72,1,4.32,1,1,Fiber Optic,18.0,0,1,1,1,1,Two Year,1,Credit Card,110.6,8273.24,0,55-64
3,9,72,1,6.9,0,0,No,0.0,0,0,0,0,0,Two Year,1,Credit Card,20.7,1979.1,0,55-64
0,0,35,1,23.77,0,0,No,0.0,0,0,0,0,0,One Year,0,Credit Card,21.1,1558.72,0,55-64
1,0,68,1,32.11,1,1,Fiber Optic,12.0,0,0,1,1,0,One Year,1,Credit Card,107.15,9613.28,0,65-80
3,9,71,1,33.67,1,1,Fiber Optic,75.0,0,1,0,1,1,Two Year,1,Bank Withdrawal,84.8,8542.97,0,35-44
2,8,70,1,30.33,1,0,No,0.0,0,0,0,0,0,Two Year,0,Bank Withdrawal,24.7,3809.0,0,35-44
3,6,29,0,0.0,0,1,DSL,57.0,1,1,1,1,1,One Year,1,Credit Card,55.35,1636.95,0,55-64
0,0,66,1,21.23,0,0,No,0.0,0,0,0,0,0,Two Year,0,Bank Withdrawal,19.35,2641.98,0,55-64
0,0,20,1,48.46,0,1,Fiber Optic,23.0,0,0,0,0,1,Two Year,0,Bank Withdrawal,89.95,2617.65,0,65-80
2,3,55,1,27.87,0,1,Fiber Optic,17.0,0,0,0,0,1,Two Year,1,Credit Card,69.05,5375.45,0,45-54
0,2,9,1,14.91,0,1,Cable,82.0,0,0,1,0,1,Month-to-Month,1,Mailed Check,70.05,698.59,0,18-24
0,0,2,1,43.96,1,1,Fiber Optic,14.0,0,0,1,0,1,Month-to-Month,1,Bank Withdrawal,78.55,237.47,1,65-80
0,7,72,1,2.56,1,1,Fiber Optic,24.0,0,0,1,0,1,Two Year,1,Bank Withdrawal,97.85,7025.62,0,55-64
3,0,49,1,31.7,0,0,No,0.0,0,0,0,0,0,Two Year,0,Credit Card,20.45,2577.95,0,55-64
0,0,24,1,27.91,0,1,Fiber Optic,59.0,0,1,1,0,1,Month-to-Month,1,Bank Withdrawal,89.55,2856.99,0,18-24
0,0,42,1,13.51,1,1,Fiber Optic,19.0,0,1,0,0,1,One Year,1,Bank Withdrawal,-5.0,3911.52,0,65-80
0,1,21,1,21.83,1,1,Fiber Optic,59.0,0,0,1,1,1,Month-to-Month,1,Bank Withdrawal,106.1,2708.38,1,25-34
1,1,52,1,7.04,1,1,DSL,22.0,0,1,1,0,1,One Year,1,Bank Withdrawal,80.85,4445.63,0,65-80
0,0,18,1,38.32,1,1,DSL,20.0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,50.3,1603.06,0,35-44
0,9,12,1,39.0,0,1,Fiber Optic,7.0,1,1,1,0,1,Month-to-Month,1,Bank Withdrawal,84.6,1427.9,0,55-64
2,4,72,1,27.88,1,1,Fiber Optic,30.0,1,1,1,0,0,Two Year,1,Credit Card,108.4,9804.61,0,55-64
0,0,3,1,47.51,1,1,Fiber Optic,85.0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,75.5,363.13,1,25-34
0,0,52,1,23.04,1,1,Fiber Optic,25.0,0,1,1,1,1,Two Year,1,Bank Withdrawal,110.75,7023.82,0,65-80
0,0,46,0,0.0,0,1,DSL,26.0,0,1,0,0,1,Month-to-Month,0,Bank Withdrawal,30.3,1380.1,1,55-64
0,1,53,1,41.74,1,1,Fiber Optic,24.0,0,1,0,0,1,Month-to-Month,1,Credit Card,98.4,7361.72,1,45-54
0,0,15,1,17.19,1,1,DSL,19.0,0,0,0,1,1,Month-to-Month,0,Credit Card,55.0,1014.95,1,65-80
0,10,70,1,48.0,1,1,Fiber Optic,13.0,1,1,1,0,1,Two Year,1,Credit Card,99.35,10304.5,0,55-64
0,4,18,1,25.54,0,0,No,0.0,0,0,0,0,0,Two Year,0,Credit Card,20.1,830.22,0,55-64
0,0,7,0,0.0,0,1,DSL,4.0,0,0,0,0,1,Month-to-Month,0,Bank Withdrawal,25.05,189.95,0,35-44
2,1,54,1,28.87,1,0,No,0.0,0,0,0,0,0,One Year,1,Bank Withdrawal,24.75,2901.13,0,35-44
0,0,1,0,0.0,0,1,DSL,7.0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,24.25,24.25,1,55-64
0,5,68,1,9.76,1,1,Fiber Optic,15.0,0,1,1,0,0,One Year,0,Credit Card,86.45,6576.63,0,45-54
0,6,72,1,46.1,1,1,Fiber Optic,23.0,0,1,1,0,1,One Year,1,Bank Withdrawal,101.35,10642.35,0,45-54
1,5,55,1,46.61,0,1,DSL,30.0,0,0,1,1,1,Two Year,1,Credit Card,55.25,5683.45,0,18-24
0,0,9,0,0.0,0,1,DSL,7.0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,24.95,190.25,0,55-64
0,0,4,1,25.8,0,0,No,0.0,0,0,0,0,0,Month-to-Month,0,Credit Card,20.05,186.5,0,25-34
2,2,18,0,0.0,0,1,DSL,59.0,0,1,1,0,1,One Year,0,Credit Card,46.4,812.4,0,25-34
0,4,41,1,13.58,1,1,DSL,51.0,0,1,1,0,1,One Year,0,Bank Withdrawal,68.5,3358.36,0,25-34
0,0,10,1,5.92,1,1,Fiber Optic,11.0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,86.05,893.3,1,25-34
0,2,63,1,48.95,1,1,Fiber Optic,13.0,0,1,1,0,1,Month-to-Month,1,Bank Withdrawal,103.4,9686.85,1,55-64
1,0,6,1,17.53,0,0,No,0.0,0,0,0,0,0,Month-to-Month,0,Credit Card,19.55,233.78,0,18-24
0,0,14,1,26.02,0,0,No,0.0,0,0,0,0,0,One Year,0,Mailed Check,19.35,689.08,0,18-24
0,1,61,1,17.73,0,1,Fiber Optic,2.0,0,1,1,1,1,Month-to-Month,0,Credit Card,94.15,6813.38,0,55-64
0,0,13,1,33.69,1,1,Fiber Optic,15.0,1,0,0,0,0,Month-to-Month,1,Credit Card,80.0,1467.32,0,55-64
